Row,Document,Right Summary,Hallucinated Summary,True Label,Baseline GPT-3.5 Prediction,Baseline GPT-4 Prediction,Baseline GPT-4o Mini Prediction,Sentence Level GPT-3.5 Prediction,Sentence Level GPT-4 Prediction,Sentence Level GPT-4o Mini Prediction
9,"We're always hearing about the latest 'superfoods' - and how they could have a powerful effect on our health and wellbeing. And while the term 'superfood' might be thrown around a little too freely sometimes, there are some fruits and seeds that really are a power-house of nutritional value. Here, I reveal which ones are worth adding to your shopping basket today... Scroll down for video. Sour cherries contain high levels of antioxidants and as a result are anti-inflammatory, can help a person sleep and can improve recovery after a sports injury, Dr Sally Norton said. TART CHERRIES. What are the benefits? Tart or sour cherries  have been found to contain high levels of antioxidants. As a result the benefits  include anti-inflammation, boosted sleep, and improved sports recovery. Reports have suggested that an increased intake of tart cherries could help to reduce certain post-workout side-effects, such as muscle aches, inflammation and weakness. AVOCADO. What are the benefits? More than just the main ingredient in guacamole, avocados seem to be having a real moment in the spotlight, and it's not surprising. They're a great source of healthy, mono-saturated fats – which have been known to help lower bad cholesterol, and as a result, reduce our risk of heart attack and stroke. In fact, a recent study has suggested that combining a moderate-fat diet with one avocado a day could actually lower your levels of bad cholesterol by more than a low-fat, or moderate-fat diet without avocados. Avocados are a great source of healthy, mono-saturated fats, which have been shown to lower bad cholesterol and reduce a person's risk of heart attack or stroke. CRANBERRIES. What are the benefits? As many of you will know, cranberries have been used for years as an aid against urinary tract infections. But studies have suggested these berries could also have a wide range of other benefits – from improving our heart health, helping to prevent certain cancers, to boosting our oral health and helping to reduce infections. What helps to make them just so good for us are the polyphenols that are present in those little red berries. Polyphenols have been reported to possess antioxidant, anti-inflammatory and antimicrobial properties, to name just a few. Just be careful where you get your cranberry intake from, as cranberry juice and juice drinks are often full of sugar. Polyphenols found in cranberries are reported to possess antioxidant, anti-inflammatory and antimicrobial properties. Studies have shown they can improve heart health and help prevent certain cancers. BLUEBERRIES. What are the benefits? With their high levels of antioxidants, vitamins and minerals, blueberries have been linked to all kinds of health benefits, including heart health, cancer prevention, enhanced brain function and improved eyesight. And if that's not enough, some studies have suggested that the antioxidants in blueberries could help to delay the ageing process – a much cheaper alternative to all those anti-ageing creams. PUMPKIN SEEDS. What are the benefits? We all know how nutritious pumpkins are, but there's even more to be said for the pumpkin seed. It provides great levels of protein, fibre, manganese, magnesium, and phosphorous, and is a rich source of zinc - important for immunity, cell growth and division, as well as sleep, mood, and eye and skin health. It's not surprising it's been dubbed a 'superseed'. A handful of these little seeds make a great, nutrient-packed snack, or add them to your porridge for a tasty nutrient boost. Blueberries, left, have been linked to a wide range of health benefits including improved heart health, cancer prevention and improved eyesight. And pumpkin seeds, right, dubbed 'superseeds', are thought to help a person sleep, improve their mood and boost eyesight. CHIA SEEDS. What are the benefits? Seed du jour, the chia seed has seen a steep rise in popularity over the past couple of years - unsurprising, given its high levels of nutrients and low-calorie intake. Loaded with antioxidants, soluble fibre and minerals, chia seeds are also a source of omega-3 - though not as easily used by our bodies as that obtained from fish - and contain more calcium, ounce for ounce, than milk. If you're after a easy way to add chia seeds into your diet, try out our simple, creamy chia porridge recipe. Sprinkle the seeds on to porridge that has been mixed with low-calorie, but vitamin-rich rice milk, and you’ve got yourself a healthy, creamy, nutrient-packed breakfast. If you’re not a fan of rice milk, then almond milk or soya milk could work just as well. To find out more visit www.vavista.com. Loaded with antioxidants, soluble fibre and minerals, chia seeds are also a source of omega-3 and contain more calcium, ounce for ounce, than milk.
",,"Six superfoods proven to boost weight loss and overall health have recently been identified by experts. These include tart cherries which improve sleep and can help with sports recovery, avocado which is high in heart-healthy mono-saturated fats, and cranberries which contain polyphenols that possess antioxidant and anti-inflammatory properties. Blueberries have also been linked to a wide range of health benefits, while pumpkin and chia seeds help with sleep, improve mood, and boost eyesight. Incorporating these superfoods into your diet can be easy and delicious, and will eventually help you lose weight and improve your overall health.",1,0,1,1,1,1,1
10,"The Minister for Communications Malcolm Turnbull is set to feature on the front cover of GQ Australia in a bold move that will no doubt set senators' tongues wagging. Posing in a suave blue suit with a pinstriped shirt and a contrasting red tie, Mr Turnbull's confident demeanour is complimented by the bold, confronting words printed across the page: 'Primed Minister'. In an eight page interview, the minister from Sydney’s exclusive suburb of Point Piper confirmed rumours that he had planned to run for Prime Minister if Tony Abbott had been successfully toppled in February's leadership spill. Malcolm Turnbull is set to feature on the front cover of the GQ Australia May issue which hits newsstands on Monday 20 April. 'People would have been astonished if I hadn't,' Mr Turnbull told GQ, according to The Australian. His appearance in the high profile magazine, in which he is also interviewed about his childhood and political stance, has sparked criticism and accusations that the minister if fishing for votes. 'Honestly, it's this simple: I get out of bed and I am me,' he said in the interview. 'If people find me persuasive or offensive that's up to them, but I am comfortable in my own skin and I honestly never ask, ""How can I change myself to be more appealing to people?"".' The Minister for Communications confirmed rumours that he had planned to run for Prime Minister if Tony Abbott had been successfully toppled in February's leadership spill. It's not the first time the Minister for Communications has graced the pages of GQ in a sharp suit. In a déjà vu inducing photo shoot and interview published by GQ in March of 2013, the then shadow minister opened up about his rise to politics and the business moves that made him a millionaire. His exercise regime, love, marriage and the story of how he met his wife were also not out of bounds. His appearance in the high profile magazine, in which he is also interviewed about his childhood and political stance, has sparked criticism and accusations that the minister if fishing for votes. But Mr Turnbull certainly sung a different tune when he was questioned about challenging Tony Abbott's leadership and trying for the top job himself when questioned two years ago. When asked if he was 'resigned to never again' lead the Liberal Party, Mr Turnbull had responded with: 'The proposition that I won't lead the Liberal Party again does not cause me to lose any sleep. I resolved, when I decided to stay in parliament, that I would do everything I could to give Tony a loyalty and a consistency that not all my colleagues gave me. I've done that. 'If Tony is unsuccessful — and I don't think he will be — no one will be able to say Malcolm Turnbull was anything other than supportive.'
","Mr Turnbull was interviewed about his childhood and his political stance. He also admitted he planned to run for Prime Minister if Tony Abbott had been successfully toppled in February's leadership spill. The words 'Primed Minister' were controversially also printed on the cover.
",,0,0,0,0,0,0,0
10,"The Minister for Communications Malcolm Turnbull is set to feature on the front cover of GQ Australia in a bold move that will no doubt set senators' tongues wagging. Posing in a suave blue suit with a pinstriped shirt and a contrasting red tie, Mr Turnbull's confident demeanour is complimented by the bold, confronting words printed across the page: 'Primed Minister'. In an eight page interview, the minister from Sydney’s exclusive suburb of Point Piper confirmed rumours that he had planned to run for Prime Minister if Tony Abbott had been successfully toppled in February's leadership spill. Malcolm Turnbull is set to feature on the front cover of the GQ Australia May issue which hits newsstands on Monday 20 April. 'People would have been astonished if I hadn't,' Mr Turnbull told GQ, according to The Australian. His appearance in the high profile magazine, in which he is also interviewed about his childhood and political stance, has sparked criticism and accusations that the minister if fishing for votes. 'Honestly, it's this simple: I get out of bed and I am me,' he said in the interview. 'If people find me persuasive or offensive that's up to them, but I am comfortable in my own skin and I honestly never ask, ""How can I change myself to be more appealing to people?"".' The Minister for Communications confirmed rumours that he had planned to run for Prime Minister if Tony Abbott had been successfully toppled in February's leadership spill. It's not the first time the Minister for Communications has graced the pages of GQ in a sharp suit. In a déjà vu inducing photo shoot and interview published by GQ in March of 2013, the then shadow minister opened up about his rise to politics and the business moves that made him a millionaire. His exercise regime, love, marriage and the story of how he met his wife were also not out of bounds. His appearance in the high profile magazine, in which he is also interviewed about his childhood and political stance, has sparked criticism and accusations that the minister if fishing for votes. But Mr Turnbull certainly sung a different tune when he was questioned about challenging Tony Abbott's leadership and trying for the top job himself when questioned two years ago. When asked if he was 'resigned to never again' lead the Liberal Party, Mr Turnbull had responded with: 'The proposition that I won't lead the Liberal Party again does not cause me to lose any sleep. I resolved, when I decided to stay in parliament, that I would do everything I could to give Tony a loyalty and a consistency that not all my colleagues gave me. I've done that. 'If Tony is unsuccessful — and I don't think he will be — no one will be able to say Malcolm Turnbull was anything other than supportive.'
",,Malcolm Turnbull's appearance on GQ Australia's cover has caused outrage as the Minister has announced his candidacy for the presidential campaign.,1,1,1,1,1,1,1
11,"Raheem Sterling has hinted that his long-term future remains at Liverpool after revealing that he dreams of hearing Anfield sing his name. Sterling is stalling on a new £100,000-a-week contract offer, although he insists it has nothing to do with money and he will reassess at the end of the season. The 20-year-old, who has been linked with a number of Europe's top clubs, has now revealed that he'd love his very own chant from the Liverpool faithful. Raheem Sterling (left) has revealed that he hopes Liverpool fans create a chant for him. Sterling is stalling on a new £100,000-a-week  offer although he insists it has nothing to do with money. Sterling told Sunday Times Magazine: 'My ambition is to have my own song from the Kop. Last season I loved the song for Luis Suarez — [Steven] Gerrard and [Philippe] Coutinho have good ones too. 'Of course, when the crowd’s with you, there’s nothing better.' Sterling will be hoping to help Liverpool to a crucial Premier League victory against Newcastle United on Monday evening as Brendan Rodgers' side look to close the gap to fourth-place Manchester City. Sterling made his Liverpool debut in a Premier League defeat against Wigan in 2012. Sterling (second right) models Liverpool's new kit alongside (l-r) Adam Lallana, Daniel Sturridge, Jordan Henderson and Philippe Coutinho last week as the new strip was revealed. The former Queens Park Rangers youngster also revealed how a visit to Anfield as a starstruck 15-year-old convinced him that a career on Merseyside was the right move. He added: 'I was 15 when I signed to Liverpool’s youth team, and I have to admit I was starstruck. The first time I saw Stevie [Gerrard] I thought he was a fake! I couldn’t believe he was real and not a waxwork. 'By the time I was 14, I had trials lined up at Arsenal, Chelsea and Fulham, but my Liverpool trial at Anfield came first, and when I saw the stadium and the training ground, I thought: “Right, I’m not leaving here until I’ve signed.' Reds boss Brendan Rodgers will be hoping Sterling decides to stay at Anfield next season.
","Raheem Sterling hopes the Liverpool fans will soon be chanting his name. Sterling has been stalling on a new £100,000-a-week contract offer. The 20-year-old admits he 'loved' the song fans had for Luis Suarez. READ: Sterling pictured smoking shisha pipe as star courts controversy. READ: Jordon Ibe on the verge of signing new Liverpool contract.
",,0,1,1,1,0,1,1
11,"Raheem Sterling has hinted that his long-term future remains at Liverpool after revealing that he dreams of hearing Anfield sing his name. Sterling is stalling on a new £100,000-a-week contract offer, although he insists it has nothing to do with money and he will reassess at the end of the season. The 20-year-old, who has been linked with a number of Europe's top clubs, has now revealed that he'd love his very own chant from the Liverpool faithful. Raheem Sterling (left) has revealed that he hopes Liverpool fans create a chant for him. Sterling is stalling on a new £100,000-a-week  offer although he insists it has nothing to do with money. Sterling told Sunday Times Magazine: 'My ambition is to have my own song from the Kop. Last season I loved the song for Luis Suarez — [Steven] Gerrard and [Philippe] Coutinho have good ones too. 'Of course, when the crowd’s with you, there’s nothing better.' Sterling will be hoping to help Liverpool to a crucial Premier League victory against Newcastle United on Monday evening as Brendan Rodgers' side look to close the gap to fourth-place Manchester City. Sterling made his Liverpool debut in a Premier League defeat against Wigan in 2012. Sterling (second right) models Liverpool's new kit alongside (l-r) Adam Lallana, Daniel Sturridge, Jordan Henderson and Philippe Coutinho last week as the new strip was revealed. The former Queens Park Rangers youngster also revealed how a visit to Anfield as a starstruck 15-year-old convinced him that a career on Merseyside was the right move. He added: 'I was 15 when I signed to Liverpool’s youth team, and I have to admit I was starstruck. The first time I saw Stevie [Gerrard] I thought he was a fake! I couldn’t believe he was real and not a waxwork. 'By the time I was 14, I had trials lined up at Arsenal, Chelsea and Fulham, but my Liverpool trial at Anfield came first, and when I saw the stadium and the training ground, I thought: “Right, I’m not leaving here until I’ve signed.' Reds boss Brendan Rodgers will be hoping Sterling decides to stay at Anfield next season.
",,"Raheem Sterling has agreed to a new contract offer from Liverpool after stating that he has no desire to leave the club. He claims to have dreamed of playing for the Reds ever since he was a young boy and has no intention of leaving anytime soon. Sterling is looking forward to playing alongside fellow Liverpool stars Gerrard, Coutinho and Henderson for many years to come.",1,1,1,1,1,1,1
12,"Football in Turkey has been suspended for one week following the armed attack on Fenerbahce's team bus on Saturday. Meanwhile, a Turkish official says police have detained two people suspected of involvement in the attack. Trabzon Governor Abdil Celil Oz said the two suspects were detained early on Tuesday and that one of them is believed to have followed the convoy while the other fired shots with a rifle at the bus. The decision to suspend football in Turkey affects both next weekend's Super Lig fixtures and the midweek cup quarter-finals, although Besiktas' match against Istanbul Basaksehir, the last of this weekend's Super Lig matches, is scheduled to go ahead on Monday evening. Fenerbahce's bus came under armed attack as it drove to the airport following an away match at Caykur Rizespor, which Fener won 5-1, in Turkey's Super Lig. Five round marks can be seen on the windscreen of the Fenerbahce team bus after the attack. The window nearest the driver was smashed during the attack on Saturday night. The injured driver, with blood seeping from a head wound, seeks help  after the attack. Fenerbahce on Sunday demanded that football be suspended until the incident was dealt with and the perpetrators punished, and on Monday a one-week suspension was announced by the Turkish Football Federation (TFF) following a meeting with sports minister Akif Cagatay Kilic. 'This was a cowardly and treacherous attack,' Kilic said in comments on the TFF website. He added: 'I think it's important to make this response. This was an attack not just on Fenerbahce, but an attack on Turkish sport and Turkish football. I believe we will stand as one against it.' Kilic also wished a speedy recovery to the bus driver, named as Ufuk Kiran, who was injured in the attack. The club had posted several pictures of the bus on their website after the attack which showed a shattered side window and damage to the front windscreen. The pictures also showed blood on the driver's seat and the steering wheel. The attack followed Fener's 5-1 win away to Rizespor. The bus was going over a viaduct on its way from the city of Rize to the airport in Trabzon to return to Istanbul when the incident occurred. Fenerbahce had temporarily gone top of the league with Saturday's win, although Galatasaray returned to the summit on Sunday by beating Karabukspor 4-2, and they sit two points clear with eight matches remaining. Ashen-faced head coach Ismail Kartal surveys the damage to the team bus. Players and coaching staff survey the damage after the attack near the city of Trabzon. Local TV footage reportedly showed the damage to the team bus and a hole in the steering wheel.
","Football in Turkey has been suspended for one week following the armed attack on Fenerbahce team bus on Saturday. The bus came under attack as it drove to the airport following the away match against Cayukr Rizespor which Fener won 5-1. Turkish official says two people have been detained by police.
",,0,0,0,0,0,0,0
12,"Football in Turkey has been suspended for one week following the armed attack on Fenerbahce's team bus on Saturday. Meanwhile, a Turkish official says police have detained two people suspected of involvement in the attack. Trabzon Governor Abdil Celil Oz said the two suspects were detained early on Tuesday and that one of them is believed to have followed the convoy while the other fired shots with a rifle at the bus. The decision to suspend football in Turkey affects both next weekend's Super Lig fixtures and the midweek cup quarter-finals, although Besiktas' match against Istanbul Basaksehir, the last of this weekend's Super Lig matches, is scheduled to go ahead on Monday evening. Fenerbahce's bus came under armed attack as it drove to the airport following an away match at Caykur Rizespor, which Fener won 5-1, in Turkey's Super Lig. Five round marks can be seen on the windscreen of the Fenerbahce team bus after the attack. The window nearest the driver was smashed during the attack on Saturday night. The injured driver, with blood seeping from a head wound, seeks help  after the attack. Fenerbahce on Sunday demanded that football be suspended until the incident was dealt with and the perpetrators punished, and on Monday a one-week suspension was announced by the Turkish Football Federation (TFF) following a meeting with sports minister Akif Cagatay Kilic. 'This was a cowardly and treacherous attack,' Kilic said in comments on the TFF website. He added: 'I think it's important to make this response. This was an attack not just on Fenerbahce, but an attack on Turkish sport and Turkish football. I believe we will stand as one against it.' Kilic also wished a speedy recovery to the bus driver, named as Ufuk Kiran, who was injured in the attack. The club had posted several pictures of the bus on their website after the attack which showed a shattered side window and damage to the front windscreen. The pictures also showed blood on the driver's seat and the steering wheel. The attack followed Fener's 5-1 win away to Rizespor. The bus was going over a viaduct on its way from the city of Rize to the airport in Trabzon to return to Istanbul when the incident occurred. Fenerbahce had temporarily gone top of the league with Saturday's win, although Galatasaray returned to the summit on Sunday by beating Karabukspor 4-2, and they sit two points clear with eight matches remaining. Ashen-faced head coach Ismail Kartal surveys the damage to the team bus. Players and coaching staff survey the damage after the attack near the city of Trabzon. Local TV footage reportedly showed the damage to the team bus and a hole in the steering wheel.
",,"Fenerbahce's win against Rizespor was overshadowed by a tragic incident in Turkey as football has come to a grinding halt for a week. A bus driver was severely injured after being shot at, resulting in the suspension of the sport for the foreseeable future.",1,0,1,1,1,0,1
13,"With 20 goals to his name this season, Watford captain Troy Deeney is regarded by many as the best striker outside the Premier League. In fact, Deeney has been lighting up the Championship for the last three seasons, scoring 64 goals in 123 league games at an average of over a goal every other game. The next logical step for the Birmingham-born striker is the top flight and, with Watford just a point off the top of the table with five games to go, he could well be skippering the Hornets in the Premier League next season. Watford striker Troy Deeney won the Championship's Player of the Month award for March. Hornets skipper Deeney is hoping to cap off a fine season by leading Watford to the Premier League. Deeney believes he can follow in the path of Charlie Austin and Danny Ings  by becoming a Premier League hit. Watford are currently just one point behind Championship leaders Bournemouth with five games left to play. And Deeney, who was this week named the Sky Bet Championship player of the month for March, makes no secret of his desire to test himself at the highest level. He said: 'I've looked at Charlie Austin, Danny Ings, Rickie Lambert and Grant Holt before that. 'These are all people that have been in the Championship, done well, then held their own in the Premier League. 'There is a sign there that you can really go on (from the Championship). If you go in and apply yourself then you can score goals. 'I want to make sure that when I go up there I'm ready for it and I show what I'm about.' It seems fair for Deeney to say 'when' and not 'if' he plays at the top level because on this season's evidence he and striker partner Odion Ighalo certainly are ready for it. Between them the Championship's most lethal strikeforce have scored 39 league goals this season and Deeney waxed lyrical about his Nigerian strike partner. 'He's a natural finisher,' he said. 'Before Saturday (when Ighalo scored from 20 yards in the win over Middlesbrough) we had been joking that all of his goals were inside the 18-yard box. 'He's definitely a poacher and when he scores he normally scores doubles, one game he got four. He scores in bunches which is a sign of a real good striker.' Deeney is adamant that together he and Ighalo could terrorise Premier League defences. 'I've been and watched a few games this season and I don't see why not,' he said. Watford striker Odion Ighalo has also been in fine goalscoring form during the course of the campaign. Deeney has been impressed with Slavisa Jokanovic since the Watford manager took charge in October. 'I think you have to be very ruthless in the Premier League and we've shown that we can score goals. 'Are we confident we can do it? Definitely.' Watford - currently third in the table and kept out of the top two only on goal difference - joined the promotion-chasing pack late after a turbulent start to the season saw three managers depart before current boss Slavisa Jokanovic took charge in October. But referring to that period Deeney, who has played under seven managers since joining Watford from Walsall in 2010, insists: 'It wasn't that bad.' He added: 'It definitely brought the players closer together. 'It's just one of those things really, in any line of work if your manager changes your job doesn't change.' Watford have won 15 of Jokanovic's 27 matches in charge and Deeney has been impressed by the Serbian's tactical flexibility. Ahead of Saturday's trip to Millwall, he said: 'We've got a talented squad so we can go from 4-4-2 to 4-4-2 diamond to 3-5-2 or 4-3-3. 'His (Jokanovic's) adaptability would be the one thing that makes him stand out.' Former Watford boss Beppe Sannino handed Deeney the captain's armband during his brief spell in charge. But Deeney's role in the revival of Watford's season, not just as goalscorer but as captain, cannot be underestimated. Beppe Sannino made him captain before the start of the season and Deeney seems to have taken to the role like a duck to water. 'I was very vocal anyway,' he said. 'If I've got something to say I'm going to say it anyway, good or bad, and I think that once people know me they respect that. 'If you're doing good I'll tell you you're doing good, if you're doing wrong I'll tell you you're doing wrong. I don't expect anything else of others towards myself. 'The added responsibility of now having to lead even more by example, I think that's the only that's changed. 'But then I think I did it pretty well beforehand, I think that's why they made me captain. They know what I'm about and what I offer. 'But now it's a case of justifying why they have made that decision.' Deeney served three months in prison for affray in 2012 and says it is no coincidence he has enjoyed by far the best three seasons of his career since his release. Deeney has warned his Watford team-mates they have 'three weeks of hard work' ahead of them. 'The two are definitely linked,' he admits. 'But it's more down to personal growth and realising what an opportunity I had, instead of being an idiot and just letting my chance go by. 'I've just grasped it with both hands and become a better footballer and a better person for it, so it (prison) was probably a blessing in disguise.' Captaining Watford in the Premier League next season, Deeney admits, would be the crowning glory after three years' hard work following his release. 'That would be the fairytale ending,' said the 26-year-old. 'But we've got three weeks of hard work before we can even start thinking about that, so I'm just going to keep working and hopefully that fairytale can come true.' You get the feeling Deeney will be playing in the Premier League regardless of what happens in the next few weeks. But  Watford have as good a chance as any of promotion with their talismanic captain in the side.
","Watford striker Troy Deeney is yet to play in the Premier League. Deeney is regarded as one of the best strikers outside the top-flight. He has scored 64 goals in 123 games during his last three seasons. The Hornets are currently just one point behind leaders Bournemouth.
",,0,0,0,1,0,0,1
13,"With 20 goals to his name this season, Watford captain Troy Deeney is regarded by many as the best striker outside the Premier League. In fact, Deeney has been lighting up the Championship for the last three seasons, scoring 64 goals in 123 league games at an average of over a goal every other game. The next logical step for the Birmingham-born striker is the top flight and, with Watford just a point off the top of the table with five games to go, he could well be skippering the Hornets in the Premier League next season. Watford striker Troy Deeney won the Championship's Player of the Month award for March. Hornets skipper Deeney is hoping to cap off a fine season by leading Watford to the Premier League. Deeney believes he can follow in the path of Charlie Austin and Danny Ings  by becoming a Premier League hit. Watford are currently just one point behind Championship leaders Bournemouth with five games left to play. And Deeney, who was this week named the Sky Bet Championship player of the month for March, makes no secret of his desire to test himself at the highest level. He said: 'I've looked at Charlie Austin, Danny Ings, Rickie Lambert and Grant Holt before that. 'These are all people that have been in the Championship, done well, then held their own in the Premier League. 'There is a sign there that you can really go on (from the Championship). If you go in and apply yourself then you can score goals. 'I want to make sure that when I go up there I'm ready for it and I show what I'm about.' It seems fair for Deeney to say 'when' and not 'if' he plays at the top level because on this season's evidence he and striker partner Odion Ighalo certainly are ready for it. Between them the Championship's most lethal strikeforce have scored 39 league goals this season and Deeney waxed lyrical about his Nigerian strike partner. 'He's a natural finisher,' he said. 'Before Saturday (when Ighalo scored from 20 yards in the win over Middlesbrough) we had been joking that all of his goals were inside the 18-yard box. 'He's definitely a poacher and when he scores he normally scores doubles, one game he got four. He scores in bunches which is a sign of a real good striker.' Deeney is adamant that together he and Ighalo could terrorise Premier League defences. 'I've been and watched a few games this season and I don't see why not,' he said. Watford striker Odion Ighalo has also been in fine goalscoring form during the course of the campaign. Deeney has been impressed with Slavisa Jokanovic since the Watford manager took charge in October. 'I think you have to be very ruthless in the Premier League and we've shown that we can score goals. 'Are we confident we can do it? Definitely.' Watford - currently third in the table and kept out of the top two only on goal difference - joined the promotion-chasing pack late after a turbulent start to the season saw three managers depart before current boss Slavisa Jokanovic took charge in October. But referring to that period Deeney, who has played under seven managers since joining Watford from Walsall in 2010, insists: 'It wasn't that bad.' He added: 'It definitely brought the players closer together. 'It's just one of those things really, in any line of work if your manager changes your job doesn't change.' Watford have won 15 of Jokanovic's 27 matches in charge and Deeney has been impressed by the Serbian's tactical flexibility. Ahead of Saturday's trip to Millwall, he said: 'We've got a talented squad so we can go from 4-4-2 to 4-4-2 diamond to 3-5-2 or 4-3-3. 'His (Jokanovic's) adaptability would be the one thing that makes him stand out.' Former Watford boss Beppe Sannino handed Deeney the captain's armband during his brief spell in charge. But Deeney's role in the revival of Watford's season, not just as goalscorer but as captain, cannot be underestimated. Beppe Sannino made him captain before the start of the season and Deeney seems to have taken to the role like a duck to water. 'I was very vocal anyway,' he said. 'If I've got something to say I'm going to say it anyway, good or bad, and I think that once people know me they respect that. 'If you're doing good I'll tell you you're doing good, if you're doing wrong I'll tell you you're doing wrong. I don't expect anything else of others towards myself. 'The added responsibility of now having to lead even more by example, I think that's the only that's changed. 'But then I think I did it pretty well beforehand, I think that's why they made me captain. They know what I'm about and what I offer. 'But now it's a case of justifying why they have made that decision.' Deeney served three months in prison for affray in 2012 and says it is no coincidence he has enjoyed by far the best three seasons of his career since his release. Deeney has warned his Watford team-mates they have 'three weeks of hard work' ahead of them. 'The two are definitely linked,' he admits. 'But it's more down to personal growth and realising what an opportunity I had, instead of being an idiot and just letting my chance go by. 'I've just grasped it with both hands and become a better footballer and a better person for it, so it (prison) was probably a blessing in disguise.' Captaining Watford in the Premier League next season, Deeney admits, would be the crowning glory after three years' hard work following his release. 'That would be the fairytale ending,' said the 26-year-old. 'But we've got three weeks of hard work before we can even start thinking about that, so I'm just going to keep working and hopefully that fairytale can come true.' You get the feeling Deeney will be playing in the Premier League regardless of what happens in the next few weeks. But  Watford have as good a chance as any of promotion with their talismanic captain in the side.
",,Troy Deeney is a seasoned Premier League veteran and one of the most feared strikers in the league. He has scored 64 goals in 123 games during his last three seasons and his leadership has been instrumental in guiding Watford to the top of the table.,1,1,1,1,1,1,1
14,"Britain will still be running a budget deficit at the end of the decade despite plans to return the country to the black, the International Monetary Fund warned last night. The global watchdog said the state will continue to spend more on public services and other areas such as welfare and overseas aid than it raises in tax throughout the next parliament. The projection underlines just how hard it will be for the next government to eliminate the country’s annual deficit, which hit a record £153billion under Labour in 2009-10 and now stands at £90billion. The International Monetary Fund (managing director, Christine Lagarde, pictured) warned Britain will still be running a budget deficit at the end of the decade, despite plans to return the country to the black. The Conservatives have pledged to return Britain to the black in 2018-19 with a surplus of £5.2billion – the first since 2001. David Cameron and George Osborne then plan to run a surplus of £7billion in 2019-20. But the IMF predicted that there will still be a deficit of £7billion that year – even after a decade of austerity. The warning, in the Fund’s Fiscal Monitor report into government finances around the world, will alarm the Tories in particular as they attempt to persuade voters that only they can balance the books. But it also raises the prospect of even higher borrowing under a Labour government. The report warned that ‘uncertainties pertaining to the May elections’ mean spending may not be cut as fast as planned. The Conservatives have pledged to return Britain to the black in 2018-19 with a surplus of £5.2billion – the first since 2001. Ed Miliband is already planning a slower pace of deficit reduction than the Tories with experts warning he could be borrowing around £30billion a year by the end of the decade. But that figure is likely to be even higher if the IMF is proved right and tax receipts do not live up to current expectations. Vitor Gaspar, director of fiscal affairs at the IMF, said it was crucial for all countries to get their public finances under control. He said governments ‘should build buffers in good times’ – echoing Mr Osborne’s pledge to ‘fix the roof while the sun is shining’. Speaking at the launch of the Fiscal Monitor in Washington, Mr Gaspar said: ‘Countries that fail to build buffers in good times often find themselves without fiscal space to manage a crisis and that is very costly.’ The bleak projections for the UK public finances come despite the IMF hailing ‘solid’ economic growth in the UK. It is now expecting growth of 2.7 per cent this year and 2.3 per cent next year – making Britain the second fastest growing economy in Group of Seven industrialised nations behind the United States.
","Projection underlines next government's task to eliminate annual deficit. It hit a record £153billion under Labour in 2009/10 and is now £90billion. Tories pledged to return UK to black in 2018/19 with surplus of £5.2billion. But global watchdog predicts there will still be deficit of £7billion that year.
",,0,0,0,0,0,0,0
14,"Britain will still be running a budget deficit at the end of the decade despite plans to return the country to the black, the International Monetary Fund warned last night. The global watchdog said the state will continue to spend more on public services and other areas such as welfare and overseas aid than it raises in tax throughout the next parliament. The projection underlines just how hard it will be for the next government to eliminate the country’s annual deficit, which hit a record £153billion under Labour in 2009-10 and now stands at £90billion. The International Monetary Fund (managing director, Christine Lagarde, pictured) warned Britain will still be running a budget deficit at the end of the decade, despite plans to return the country to the black. The Conservatives have pledged to return Britain to the black in 2018-19 with a surplus of £5.2billion – the first since 2001. David Cameron and George Osborne then plan to run a surplus of £7billion in 2019-20. But the IMF predicted that there will still be a deficit of £7billion that year – even after a decade of austerity. The warning, in the Fund’s Fiscal Monitor report into government finances around the world, will alarm the Tories in particular as they attempt to persuade voters that only they can balance the books. But it also raises the prospect of even higher borrowing under a Labour government. The report warned that ‘uncertainties pertaining to the May elections’ mean spending may not be cut as fast as planned. The Conservatives have pledged to return Britain to the black in 2018-19 with a surplus of £5.2billion – the first since 2001. Ed Miliband is already planning a slower pace of deficit reduction than the Tories with experts warning he could be borrowing around £30billion a year by the end of the decade. But that figure is likely to be even higher if the IMF is proved right and tax receipts do not live up to current expectations. Vitor Gaspar, director of fiscal affairs at the IMF, said it was crucial for all countries to get their public finances under control. He said governments ‘should build buffers in good times’ – echoing Mr Osborne’s pledge to ‘fix the roof while the sun is shining’. Speaking at the launch of the Fiscal Monitor in Washington, Mr Gaspar said: ‘Countries that fail to build buffers in good times often find themselves without fiscal space to manage a crisis and that is very costly.’ The bleak projections for the UK public finances come despite the IMF hailing ‘solid’ economic growth in the UK. It is now expecting growth of 2.7 per cent this year and 2.3 per cent next year – making Britain the second fastest growing economy in Group of Seven industrialised nations behind the United States.
",,"The International Monetary Fund has warned the British government that the country's budget deficit is unlikely to be eliminated by 2020, despite the plans to return to surplus, as it will continue spending more than what it collects. Though the Conservatives have promised to produce a surplus of £5.2 billion in 2018/19 and maintain a £7 billion surplus in 2019/20, the IMF's prediction contradicts that, indicating that the country is likely to face even higher borrowing under Labour's financial plans. The report also highlighted the importance of building financial buffers to tackle economic crises in the future.",1,0,0,1,1,0,1
